Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
10;Strana za životní jistoty a NK;42;Adámek Jiří;;49;NK;BEZPP;252;1.56;0;False;2002
10;Strana za životní jistoty a NK;35;Anděrová Ivana;;34;NK;BEZPP;297;1.83;0;False;2002
5;Sdružení nezávislých;36;Bachcevanidis Tanasis;;48;SNK ED;BEZPP;2477;1.91;31;False;2002
3;Liga pro město;5;Bartoš Michael;Ing. CSc.;48;VPM;BEZPP;2143;3.74;0;False;2002
3;Liga pro město;19;Bašta Stanislav;;59;ČSNS;ČSNS;1186;2.07;0;False;2002
5;Sdružení nezávislých;25;Baťková Zdenka;;70;SNK ED;BEZPP;2556;1.97;20;False;2002
1;Unie svobody-Demokratická unie;23;Baumruck Zdeněk;;81;US-DEU;US-DEU;1161;1.96;21;False;2002
3;Liga pro město;40;Bazal Rudolf;;40;SOS;BEZPP;989;1.72;0;False;2002
3;Liga pro město;6;Bazalová Eva;;39;SOS;SOS;1387;2.42;0;False;2002
9;Komunistická str.Čech a Moravy;44;Beneda Václav;;73;KSČM;KSČM;3604;2.01;37;False;2002
2;Občanská demokratická strana;10;Beneš Miroslav;Ing.;46;ODS;ODS;9592;2.36;11;True;2002
10;Strana za životní jistoty a NK;6;Ber František;Mgr.;59;NK;BEZPP;461;2.85;0;False;2002
1;Unie svobody-Demokratická unie;29;Beránková Alena;;66;US-DEU;US-DEU;1081;1.83;27;False;2002
2;Občanská demokratická strana;40;Beránková Daniela;;56;ODS;ODS;8457;2.08;22;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;4;Bezecný Zdeněk;Mgr.;30;KDU-ČSL;KDU-ČSL;3826;2.74;3;True;2002
2;Občanská demokratická strana;36;Bína Miroslav;;25;ODS;ODS;8768;2.16;18;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;28;Blaško Jiří;;42;KDU-ČSL;BEZPP;2912;2.08;22;False;2002
10;Strana za životní jistoty a NK;40;Blažek Karel;;58;NK;BEZPP;260;1.61;0;False;2002
4;Česká str.sociálně demokrat.;1;Bohdalová Vlasta;Mgr.;45;ČSSD;ČSSD;5248;3.02;1;True;2002
2;Občanská demokratická strana;37;Bouzek Jiří;MUDr.;53;ODS;ODS;8944;2.2;19;False;2002
1;Unie svobody-Demokratická unie;30;Bradáč Petr;;41;US-DEU;US-DEU;1137;1.92;28;False;2002
9;Komunistická str.Čech a Moravy;1;Braný Petr;RSDr.;51;KSČM;KSČM;4528;2.53;1;True;2002
3;Liga pro město;13;Brejcha Tomáš;;24;VPM;BEZPP;1293;2.25;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;24;Brichcín Roman;Mgr.;44;KDU-ČSL;BEZPP;3212;2.3;18;False;2002
1;Unie svobody-Demokratická unie;2;Brůha Jiří;Ing. arch.;43;US-DEU;US-DEU;2250;3.81;2;True;2002
1;Unie svobody-Demokratická unie;18;Brych Jaromír;;31;US-DEU;US-DEU;1237;2.09;16;False;2002
1;Unie svobody-Demokratická unie;31;Brychtová Hana;;30;US-DEU;US-DEU;1252;2.12;29;False;2002
5;Sdružení nezávislých;21;Cibuzar Milan;;47;SNK ED;BEZPP;2726;2.11;16;False;2002
3;Liga pro město;8;Cirkl Petr;;54;SOS;BEZPP;1409;2.45;0;False;2002
9;Komunistická str.Čech a Moravy;31;Císler Josef;RSDr.;64;KSČM;KSČM;3924;2.19;24;False;2002
4;Česká str.sociálně demokrat.;9;Čadek Jan;;67;ČSSD;ČSSD;3963;2.28;4;False;2002
1;Unie svobody-Demokratická unie;1;Čáp Zdeněk;;47;US-DEU;US-DEU;2573;4.36;1;True;2002
5;Sdružení nezávislých;20;Čech František;;52;SNK ED;BEZPP;2952;2.28;15;False;2002
10;Strana za životní jistoty a NK;41;Čechová Jana;;32;NK;BEZPP;295;1.82;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;21;Čechová Vladimíra;;29;KDU-ČSL;KDU-ČSL;2967;2.12;15;False;2002
3;Liga pro město;25;Čepičková Eva;;46;VPM;BEZPP;1110;1.93;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;3;Čermák Luděk;Ing.;36;KDU-ČSL;KDU-ČSL;3681;2.63;6;True;2002
8;Křesť.demokr.unie-Čs.str.lid.;8;Čermáková Michaela;Mgr.;43;KDU-ČSL;BEZPP;3740;2.68;5;True;2002
9;Komunistická str.Čech a Moravy;13;Čipera Radek;;34;KSČM;KSČM;4101;2.29;6;False;2002
3;Liga pro město;29;Doleželová Marie;;54;VPM;BEZPP;1096;1.91;0;False;2002
4;Česká str.sociálně demokrat.;28;Dryml Vladimír;MUDr.;50;ČSSD;ČSSD;3902;2.25;21;False;2002
6;Strana občanského porozumění;2;Dubský Tomáš;;41;SOP;BEZPP;297;15.82;0;False;2002
1;Unie svobody-Demokratická unie;13;Dudek Luboš;Ing.;40;US-DEU;US-DEU;1305;2.21;12;False;2002
5;Sdružení nezávislých;11;Dvořák František;;45;SNK ED;BEZPP;2735;2.11;7;False;2002
1;Unie svobody-Demokratická unie;45;Dvořáková Věra;;53;US-DEU;US-DEU;803;1.36;43;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;10;Ernst Ota;MUDr.;51;KDU-ČSL;KDU-ČSL;3441;2.46;1;False;2002
3;Liga pro město;11;Fabián Ivan;;44;ČSNS;ČSNS;1324;2.31;0;False;2002
3;Liga pro město;9;Faltys Antonín;Ing.;46;ČSNS;BEZPP;1481;2.58;0;False;2002
10;Strana za životní jistoty a NK;45;Fenclová Romana;;23;NK;BEZPP;270;1.67;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;33;Ferebauerová Marie;;64;KDU-ČSL;KDU-ČSL;2815;2.01;27;False;2002
9;Komunistická str.Čech a Moravy;15;Filip Robin;;20;KSČM;KSČM;4053;2.26;8;False;2002
3;Liga pro město;41;Flachsová Anna;;72;ČSNS;BEZPP;930;1.62;0;False;2002
1;Unie svobody-Demokratická unie;36;Forst Arnošt;;71;US-DEU;US-DEU;1067;1.8;34;False;2002
10;Strana za životní jistoty a NK;34;Fronová Jana;;23;NK;BEZPP;290;1.79;0;False;2002
9;Komunistická str.Čech a Moravy;24;Galo Marian;;44;KSČM;BEZPP;3978;2.22;17;False;2002
9;Komunistická str.Čech a Moravy;16;Gazdová Eva;;20;KSČM;BEZPP;4010;2.24;9;False;2002
3;Liga pro město;31;Gazdová Růžena;Ing.;44;ČSNS;BEZPP;1139;1.98;0;False;2002
5;Sdružení nezávislých;8;Geršl Josef;akad. mal.;49;SNK ED;BEZPP;3284;2.54;5;True;2002
5;Sdružení nezávislých;29;Geršlová Alena;PhDr.;44;SNK ED;BEZPP;2746;2.12;24;False;2002
4;Česká str.sociálně demokrat.;29;Goetz Marcel;Mgr.;51;ČSSD;ČSSD;3910;2.25;22;False;2002
7;Pravý Blok;1;Grabmüller Vlastimil;Ing.;68;PB;PB;196;100.0;0;False;2002
9;Komunistická str.Čech a Moravy;23;Gregor Jan;;25;KSČM;KSČM;3978;2.22;16;False;2002
10;Strana za životní jistoty a NK;30;Hadačová Marie;;23;NK;BEZPP;289;1.79;0;False;2002
4;Česká str.sociálně demokrat.;15;Hahn Jan;Ing.;54;ČSSD;ČSSD;4013;2.31;9;False;2002
3;Liga pro město;37;Hájek David;;30;ČSNS;BEZPP;1033;1.8;0;False;2002
3;Liga pro město;33;Hájek Ondřej;;35;SOS;BEZPP;1141;1.99;0;False;2002
5;Sdružení nezávislých;10;Hajn Ivo;PhDr.;38;SNK ED;BEZPP;3279;2.53;1;False;2002
10;Strana za životní jistoty a NK;8;Hanuschová Marcela;;51;NK;BEZPP;464;2.87;0;False;2002
6;Strana občanského porozumění;14;Havelka Josef;;40;SOP;BEZPP;84;4.47;0;False;2002
10;Strana za životní jistoty a NK;20;Havelková Zdeňka;;44;NK;BEZPP;371;2.29;0;False;2002
1;Unie svobody-Demokratická unie;44;Hejpetrová Věra;;54;US-DEU;US-DEU;939;1.59;42;False;2002
3;Liga pro město;22;Hejzlarová Vladimíra;;46;SOS;BEZPP;1220;2.12;0;False;2002
2;Občanská demokratická strana;35;Heřmánek Zbyněk;;63;ODS;ODS;8722;2.15;17;False;2002
1;Unie svobody-Demokratická unie;15;Hlásek Bohuslav;Ing.;44;US-DEU;BEZPP;1332;2.25;13;False;2002
2;Občanská demokratická strana;42;Hlaváč Jaroslav;;61;ODS;ODS;7968;1.96;24;False;2002
5;Sdružení nezávislých;40;Hofmann Marek;;32;SNK ED;BEZPP;2375;1.83;35;False;2002
2;Občanská demokratická strana;24;Homola Tomáš;;32;ODS;ODS;9059;2.23;6;False;2002
2;Občanská demokratická strana;23;Hora Václav;;58;ODS;ODS;8947;2.2;5;False;2002
4;Česká str.sociálně demokrat.;2;Hovorka Ladislav;Ing.;61;ČSSD;ČSSD;4281;2.46;5;True;2002
9;Komunistická str.Čech a Moravy;11;Hrdý Jan;;57;KSČM;KSČM;4156;2.32;4;False;2002
10;Strana za životní jistoty a NK;12;Hrneček Jan;;46;NK;BEZPP;308;1.9;0;False;2002
10;Strana za životní jistoty a NK;16;Husková Zlata;;45;NK;BEZPP;310;1.92;0;False;2002
5;Sdružení nezávislých;16;Hynková Alena;Doc. Ing. CSc.;61;SNK ED;BEZPP;2890;2.23;11;False;2002
2;Občanská demokratická strana;28;Choc Martin;;18;ODS;ODS;8868;2.18;10;False;2002
10;Strana za životní jistoty a NK;38;Ihm Martin;;31;NK;BEZPP;264;1.63;0;False;2002
1;Unie svobody-Demokratická unie;33;Iličová Zdeňka;;43;US-DEU;BEZPP;1120;1.89;31;False;2002
9;Komunistická str.Čech a Moravy;25;Jandová Věra;;70;KSČM;KSČM;3926;2.19;18;False;2002
9;Komunistická str.Čech a Moravy;34;Janečková Marcela;;60;KSČM;KSČM;3854;2.15;27;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;25;Janoušek Petr;;49;KDU-ČSL;KDU-ČSL;2892;2.07;19;False;2002
3;Liga pro město;38;Jarošová Dana;;42;SOS;BEZPP;990;1.72;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;5;Javorek Filip;;23;KDU-ČSL;KDU-ČSL;3202;2.29;2;False;2002
2;Občanská demokratická strana;9;Jelen František;;40;ODS;ODS;9330;2.3;10;True;2002
8;Křesť.demokr.unie-Čs.str.lid.;38;Jelínková Hana;;63;KDU-ČSL;KDU-ČSL;2712;1.94;32;False;2002
10;Strana za životní jistoty a NK;44;Ježek Václav;;53;NK;BEZPP;252;1.56;0;False;2002
5;Sdružení nezávislých;45;Junek Václav;JUDr.;40;SNK ED;SNK ED;2180;1.68;40;False;2002
4;Česká str.sociálně demokrat.;27;Kadečková Marie;;56;ČSSD;ČSSD;3729;2.15;20;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;7;Kadlec Jan;Ing.;45;KDU-ČSL;KDU-ČSL;3191;2.28;4;False;2002
9;Komunistická str.Čech a Moravy;38;Kadlec Milan;;69;KSČM;KSČM;3823;2.14;31;False;2002
10;Strana za životní jistoty a NK;14;Kadlec Zdeněk;;41;NK;BEZPP;313;1.93;0;False;2002
9;Komunistická str.Čech a Moravy;20;Kaiglová Naděžda;;41;KSČM;BEZPP;3990;2.23;13;False;2002
1;Unie svobody-Demokratická unie;14;Kaiseršotová Ivana;;39;US-DEU;US-DEU;1584;2.68;4;False;2002
5;Sdružení nezávislých;32;Kakeš Zbyněk;;46;SNK ED;BEZPP;2518;1.95;27;False;2002
3;Liga pro město;35;Kalenský Otto;;67;VPM;BEZPP;1054;1.83;0;False;2002
9;Komunistická str.Čech a Moravy;18;Kaljandra Martin;;18;KSČM;KSČM;3981;2.22;11;False;2002
3;Liga pro město;16;Kámen Adolf;Ing.;46;ČSNS;BEZPP;1197;2.08;0;False;2002
3;Liga pro město;44;Kindlmannová Lucie;;22;SOS;BEZPP;901;1.57;0;False;2002
2;Občanská demokratická strana;25;Kladenský Karel;;38;ODS;ODS;8977;2.21;7;False;2002
2;Občanská demokratická strana;26;Klimeš Tomáš;;21;ODS;ODS;8943;2.2;8;False;2002
9;Komunistická str.Čech a Moravy;22;Klokočková Lea;;40;KSČM;KSČM;4004;2.24;15;False;2002
10;Strana za životní jistoty a NK;13;Kočí František;Ing.;59;NK;BEZPP;399;2.47;0;False;2002
1;Unie svobody-Demokratická unie;6;Kohout Tomáš;Ing.;50;US-DEU;US-DEU;1497;2.53;6;False;2002
10;Strana za životní jistoty a NK;9;Komenda Jan;Dr.;55;NK;BEZPP;445;2.75;0;False;2002
9;Komunistická str.Čech a Moravy;35;Konopa Vladislav;;53;KSČM;KSČM;3869;2.16;28;False;2002
4;Česká str.sociálně demokrat.;17;Konrád František;Ing.;64;ČSSD;ČSSD;4090;2.35;11;False;2002
5;Sdružení nezávislých;38;Kopečková Svatava;;42;SNK ED;BEZPP;2495;1.93;33;False;2002
10;Strana za životní jistoty a NK;24;Kordová Ivana;;38;NK;BEZPP;341;2.11;0;False;2002
4;Česká str.sociálně demokrat.;13;Kortus Luděk;;31;ČSSD;ČSSD;4010;2.31;7;False;2002
1;Unie svobody-Demokratická unie;5;Kostka Vladimír;RNDr.;46;US-DEU;US-DEU;2149;3.64;1;False;2002
1;Unie svobody-Demokratická unie;41;Kostková Zuzana;;18;US-DEU;BEZPP;1013;1.71;39;False;2002
6;Strana občanského porozumění;5;Kothánek Josef;;54;SOP;BEZPP;98;5.22;0;False;2002
3;Liga pro město;45;Kotláriková Anna;;62;ČSNS;BEZPP;743;1.29;0;False;2002
10;Strana za životní jistoty a NK;7;Kotršal Augustin;;58;SŽJ;SŽJ;419;2.59;0;False;2002
1;Unie svobody-Demokratická unie;8;Kouba Václav;;54;US-DEU;US-DEU;1410;2.38;9;False;2002
4;Česká str.sociálně demokrat.;20;Kovačičín Karel;Ing.;37;ČSSD;ČSSD;4005;2.3;14;False;2002
3;Liga pro město;14;Kovář Stanislav;Ing. arch.;49;SOS;BEZPP;1497;2.61;0;False;2002
10;Strana za životní jistoty a NK;33;Kozlík Milan;JUDr.;74;NK;BEZPP;311;1.92;0;False;2002
4;Česká str.sociálně demokrat.;30;Kramer Miroslav;;60;ČSSD;ČSSD;3731;2.15;23;False;2002
1;Unie svobody-Demokratická unie;32;Kratochvíl Kryštof;;45;US-DEU;BEZPP;1250;2.11;30;False;2002
4;Česká str.sociálně demokrat.;42;Kratochvílová Drahomíra;;80;ČSSD;ČSSD;3181;1.83;35;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;43;Krebs Petr;;46;KDU-ČSL;BEZPP;2520;1.8;37;False;2002
6;Strana občanského porozumění;11;Krédl Martin;;21;SOP;BEZPP;102;5.43;0;False;2002
3;Liga pro město;4;Krejča František;PhDr.;48;ČSNS;BEZPP;1899;3.31;0;False;2002
9;Komunistická str.Čech a Moravy;7;Křída Stanislav;Mgr.;44;KSČM;KSČM;4237;2.37;7;True;2002
5;Sdružení nezávislých;33;Kubala Milan;;50;SNK ED;BEZPP;2636;2.04;28;False;2002
5;Sdružení nezávislých;22;Kubička Roman;akad. mal.;53;SNK ED;BEZPP;2975;2.3;17;False;2002
2;Občanská demokratická strana;6;Kubín Tomáš;;40;ODS;ODS;9368;2.31;7;True;2002
6;Strana občanského porozumění;1;Kubišta Josef;;49;SOP;BEZPP;257;13.69;0;False;2002
6;Strana občanského porozumění;9;Kubišta Pavel;;26;SOP;BEZPP;91;4.84;0;False;2002
6;Strana občanského porozumění;7;Kubišta Petr;;21;SOP;BEZPP;107;5.7;0;False;2002
6;Strana občanského porozumění;12;Kubištová Ludmila;;45;SOP;BEZPP;97;5.16;0;False;2002
3;Liga pro město;23;Kubná Alena;;58;VPM;BEZPP;1122;1.95;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;30;Kučera Jaroslav;Ing.;72;KDU-ČSL;KDU-ČSL;2820;2.02;24;False;2002
9;Komunistická str.Čech a Moravy;8;Kučerová Anna;;50;KSČM;KSČM;4097;2.29;1;False;2002
10;Strana za životní jistoty a NK;17;Kučerová Zuzana;;22;SŽJ;BEZPP;341;2.11;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;35;Kudláčková Michaela;Mgr.;44;KDU-ČSL;KDU-ČSL;2979;2.13;29;False;2002
10;Strana za životní jistoty a NK;31;Kule Vladimír;;62;NK;BEZPP;275;1.7;0;False;2002
2;Občanská demokratická strana;8;Kuník Jiří;;46;ODS;ODS;9278;2.29;9;True;2002
2;Občanská demokratická strana;32;Kusbach Miroslav;;35;ODS;ODS;8863;2.18;14;False;2002
5;Sdružení nezávislých;26;Lála Jindřich;;58;SNK ED;BEZPP;2613;2.02;21;False;2002
2;Občanská demokratická strana;45;Langová Marie;RNDr.;69;ODS;ODS;7302;1.8;27;False;2002
4;Česká str.sociálně demokrat.;33;Lávička Jan;;63;ČSSD;ČSSD;3627;2.09;26;False;2002
10;Strana za životní jistoty a NK;22;Leštinová Anna;;44;NK;BEZPP;313;1.93;0;False;2002
6;Strana občanského porozumění;3;Líbal Libor;Ing.;44;SOP;BEZPP;186;9.9;0;False;2002
4;Česká str.sociálně demokrat.;14;Lohonka Petr;Ing.;50;ČSSD;ČSSD;4192;2.41;8;False;2002
5;Sdružení nezávislých;34;Lopata Martin;;24;SNK ED;BEZPP;2516;1.94;29;False;2002
9;Komunistická str.Čech a Moravy;14;Lörinčíková Marie;;61;KSČM;KSČM;3995;2.23;7;False;2002
4;Česká str.sociálně demokrat.;26;Macas Milan;Ing.;26;ČSSD;ČSSD;3925;2.26;19;False;2002
2;Občanská demokratická strana;4;Mačí Jaroslav;Ing.;35;ODS;ODS;9392;2.31;5;True;2002
5;Sdružení nezávislých;31;Mahr Pavel;;56;SNK ED;BEZPP;2540;1.96;26;False;2002
4;Česká str.sociálně demokrat.;7;Mach Jaroslav;Ing.;37;ČSSD;ČSSD;4212;2.42;2;False;2002
9;Komunistická str.Čech a Moravy;42;Mach Jiří;;72;KSČM;KSČM;3719;2.08;35;False;2002
9;Komunistická str.Čech a Moravy;41;Macháček Petr;Ing. CSc.;71;KSČM;KSČM;3753;2.1;34;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;37;Machová Ludmila;;64;KDU-ČSL;KDU-ČSL;2723;1.95;31;False;2002
5;Sdružení nezávislých;15;Malec Martin;Ing. arch.;39;SNK ED;BEZPP;3207;2.48;5;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;13;Malík Štěpán;;31;KDU-ČSL;KDU-ČSL;3001;2.15;8;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;40;Malíková Jana;;24;KDU-ČSL;KDU-ČSL;2671;1.91;34;False;2002
3;Liga pro město;7;Malina Tomáš;Mgr.;41;SOS;BEZPP;1942;3.39;0;False;2002
1;Unie svobody-Demokratická unie;4;Malinovský Vladislav;Ing.;37;US-DEU;US-DEU;1678;2.84;3;False;2002
2;Občanská demokratická strana;12;Mánek Ivan;Bc. Mgr.;71;ODS;ODS;9249;2.28;12;True;2002
9;Komunistická str.Čech a Moravy;2;Marek Oskar;PhDr.;72;KSČM;KSČM;4134;2.31;2;True;2002
5;Sdružení nezávislých;28;Marek Vlastimil;;36;SNK ED;BEZPP;2627;2.03;23;False;2002
2;Občanská demokratická strana;31;Mareš Bořivoj;Ing.;43;ODS;ODS;9005;2.22;13;False;2002
10;Strana za životní jistoty a NK;11;Marešová Petra;;23;SŽJ;BEZPP;386;2.39;0;False;2002
9;Komunistická str.Čech a Moravy;30;Maroušek Milan;;55;KSČM;KSČM;3895;2.18;23;False;2002
10;Strana za životní jistoty a NK;23;März Milan;Ing.;61;NK;BEZPP;310;1.92;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;34;Mařík Pavel;Mgr.;26;KDU-ČSL;BEZPP;2901;2.07;28;False;2002
2;Občanská demokratická strana;27;Masopust Václav;;83;ODS;ODS;8825;2.17;9;False;2002
1;Unie svobody-Demokratická unie;38;Mašek Martin;;20;US-DEU;BEZPP;1091;1.84;36;False;2002
1;Unie svobody-Demokratická unie;10;Mašková Věra;;50;US-DEU;SZ;1530;2.59;5;False;2002
5;Sdružení nezávislých;9;Matuška Milan;MUDr.;42;SNK ED;BEZPP;3693;2.86;4;True;2002
10;Strana za životní jistoty a NK;10;Mazur Jaroslav;Ing.;45;NK;BEZPP;399;2.47;0;False;2002
4;Česká str.sociálně demokrat.;37;Mejsnar Josef;;84;ČSSD;ČSSD;3480;2.0;30;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;27;Mentlík Petr;Mgr.;24;KDU-ČSL;KDU-ČSL;2932;2.1;21;False;2002
2;Občanská demokratická strana;18;Menzelová Jana;Mgr.;50;ODS;ODS;9204;2.27;18;True;2002
8;Křesť.demokr.unie-Čs.str.lid.;45;Mertl Věroslav;;73;KDU-ČSL;KDU-ČSL;2414;1.72;39;False;2002
4;Česká str.sociálně demokrat.;5;Meruňka Karel;Ing. CSc.;59;ČSSD;ČSSD;4379;2.52;4;True;2002
9;Komunistická str.Čech a Moravy;9;Měšťan Zdeněk;RSDr.;52;KSČM;KSČM;4095;2.29;2;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;42;Metelková Petra;;21;KDU-ČSL;KDU-ČSL;2608;1.86;36;False;2002
9;Komunistická str.Čech a Moravy;10;Mezera Josef;;28;KSČM;KSČM;4061;2.27;3;False;2002
2;Občanská demokratická strana;34;Mikoláš Čestmír;;37;ODS;ODS;8815;2.17;16;False;2002
9;Komunistická str.Čech a Moravy;45;Mikšl František;;75;KSČM;KSČM;3460;1.93;38;False;2002
3;Liga pro město;2;Mlčoch Svatomír;JUDr.;47;SOS;SOS;2023;3.53;0;False;2002
1;Unie svobody-Demokratická unie;39;Mojhová Petra;;28;US-DEU;SZ;1089;1.84;37;False;2002
5;Sdružení nezávislých;1;Mraček Lumír;MUDr.;50;SNK ED;SNK ED;5552;4.3;1;True;2002
1;Unie svobody-Demokratická unie;11;Müllerová Jana;;58;US-DEU;US-DEU;1364;2.31;11;False;2002
1;Unie svobody-Demokratická unie;16;Murtinger Karel;Mgr.;53;US-DEU;US-DEU;1319;2.23;14;False;2002
9;Komunistická str.Čech a Moravy;5;Nadberežný Ivan;Mgr.;51;KSČM;KSČM;4257;2.38;5;True;2002
1;Unie svobody-Demokratická unie;35;Návarová Alena;;53;US-DEU;US-DEU;1104;1.87;33;False;2002
10;Strana za životní jistoty a NK;2;Navrátil Pavel;;55;NK;BEZPP;515;3.19;0;False;2002
10;Strana za životní jistoty a NK;15;Nedorost Pavel;;42;SŽJ;BEZPP;336;2.08;0;False;2002
1;Unie svobody-Demokratická unie;34;Nedvěd Jan;Ing.;45;US-DEU;US-DEU;1189;2.01;32;False;2002
2;Občanská demokratická strana;43;Němcová Vlastimila;;52;ODS;ODS;8057;1.98;25;False;2002
10;Strana za životní jistoty a NK;36;Neškodný Jaroslav;;47;NK;BEZPP;252;1.56;0;False;2002
1;Unie svobody-Demokratická unie;17;Niedlová Dalena;;48;US-DEU;US-DEU;1238;2.09;15;False;2002
10;Strana za životní jistoty a NK;19;Nováčková Hana;;25;SŽJ;BEZPP;308;1.9;0;False;2002
10;Strana za životní jistoty a NK;28;Novák Jaroslav;;22;NK;BEZPP;275;1.7;0;False;2002
9;Komunistická str.Čech a Moravy;26;Nováková Anna;;66;KSČM;KSČM;3893;2.17;19;False;2002
4;Česká str.sociálně demokrat.;24;Novotná Tereza;;25;ČSSD;ČSSD;3911;2.25;17;False;2002
3;Liga pro město;30;Novotný Miroslav;Ing.;48;SOS;BEZPP;1110;1.93;0;False;2002
2;Občanská demokratická strana;13;Novotný Radek;Ing. Ph.D.;34;ODS;ODS;9274;2.29;13;True;2002
9;Komunistická str.Čech a Moravy;12;Nymburg Petr;Mgr.;36;KSČM;KSČM;4133;2.31;5;False;2002
4;Česká str.sociálně demokrat.;38;Ortman Rudolf;;59;ČSSD;ČSSD;3557;2.05;31;False;2002
9;Komunistická str.Čech a Moravy;4;Pajerská Světlana;;37;KSČM;KSČM;4197;2.35;4;True;2002
4;Česká str.sociálně demokrat.;11;Papež Vladimír;JUDr.;52;ČSSD;ČSSD;4448;2.56;2;True;2002
9;Komunistická str.Čech a Moravy;39;Pastorek Jaroslav;Ing.;70;KSČM;KSČM;3796;2.12;32;False;2002
4;Česká str.sociálně demokrat.;23;Paukejová Marie;Ing.;47;ČSSD;ČSSD;4280;2.46;6;True;2002
3;Liga pro město;27;Pavelka Marek;;24;ČSNS;BEZPP;1135;1.98;0;False;2002
9;Komunistická str.Čech a Moravy;19;Pavliš Josef;;50;KSČM;KSČM;4036;2.25;12;False;2002
4;Česká str.sociálně demokrat.;40;Pelc Zdeněk;;77;ČSSD;ČSSD;3345;1.92;33;False;2002
2;Občanská demokratická strana;7;Pešek Jan;;28;ODS;ODS;9308;2.29;8;True;2002
10;Strana za životní jistoty a NK;3;Petráš Jiří;Mgr.;38;NK;BEZPP;971;6.01;0;False;2002
10;Strana za životní jistoty a NK;39;Petrášková Stanislava;;57;NK;BEZPP;305;1.88;0;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;16;Petrmannová Marie;Ing. arch.;48;KDU-ČSL;KDU-ČSL;3156;2.26;11;False;2002
3;Liga pro město;36;Pištěk Jiří;Ing.;44;SOS;BEZPP;1123;1.96;0;False;2002
5;Sdružení nezávislých;6;Pitner Jan;;47;SNK ED;BEZPP;3267;2.53;3;False;2002
5;Sdružení nezávislých;41;Pitra Václav;;41;SNK ED;BEZPP;2343;1.81;36;False;2002
6;Strana občanského porozumění;10;Placek Pavel;;21;SOP;BEZPP;100;5.32;0;False;2002
5;Sdružení nezávislých;18;Plášil Václav;;53;SNK ED;BEZPP;2766;2.14;13;False;2002
9;Komunistická str.Čech a Moravy;43;Podepřel Stanislav;;72;KSČM;KSČM;3680;2.06;36;False;2002
4;Česká str.sociálně demokrat.;19;Podhola Petr;;20;ČSSD;ČSSD;3903;2.25;13;False;2002
4;Česká str.sociálně demokrat.;45;Podhola Petr;Ing.;46;ČSSD;ČSSD;2716;1.56;38;False;2002
2;Občanská demokratická strana;16;Pokorná Marie;;54;ODS;ODS;9051;2.23;16;True;2002
8;Křesť.demokr.unie-Čs.str.lid.;32;Pokorný Pavel;Ing.;48;KDU-ČSL;KDU-ČSL;2856;2.04;26;False;2002
4;Česká str.sociálně demokrat.;31;Polívka Bohuslav;;48;ČSSD;ČSSD;3697;2.13;24;False;2002
2;Občanská demokratická strana;2;Popelová Ivana;Ing.;41;ODS;ODS;9715;2.39;3;True;2002
6;Strana občanského porozumění;13;Popov Jaroslav;;38;SOP;BEZPP;69;3.67;0;False;2002
1;Unie svobody-Demokratická unie;37;Poráková Eva;;69;US-DEU;US-DEU;1047;1.77;35;False;2002
2;Občanská demokratická strana;15;Pospíšil Jiří;PhDr.;53;ODS;ODS;9269;2.28;15;True;2002
3;Liga pro město;17;Pospíšilová Renata;Ing.;39;SOS;SOS;1220;2.12;0;False;2002
10;Strana za životní jistoty a NK;25;Pouzar Luboš;Ing.;50;NK;BEZPP;320;1.98;0;False;2002
3;Liga pro město;43;Prášková Kamila;;34;VPM;BEZPP;938;1.63;0;False;2002
10;Strana za životní jistoty a NK;5;Pravda Jaroslav;;71;SŽJ;SŽJ;463;2.86;0;False;2002
5;Sdružení nezávislých;4;Pražák Karel;;57;SNK ED;SNK ED;3272;2.53;2;False;2002
3;Liga pro město;12;Pražáková Jitka;Mgr.;40;SOS;BEZPP;1570;2.74;0;False;2002
6;Strana občanského porozumění;6;Preininger Jan;;23;SOP;BEZPP;119;6.33;0;False;2002
5;Sdružení nezávislých;3;Procházka Jaromír;PhDr.;50;SNK ED;SNK ED;3814;2.95;3;True;2002
