Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
14;ŽENY 2014;27;Halámková Daniela;;50;NK;BEZPP;497;2.2;0;False;2014
7;Strana svobodných občanů;19;Hamáčková Alena;Ing.;49;Svobodní;BEZPP;787;2.24;0;False;2014
4;Toryové;32;Hanousek Tomáš;;21;TOR;BEZPP;532;2.06;0;False;2014
6;DOMA v Budějcích;28;Hanzlíková Jaroslava;;33;NK;BEZPP;656;2.08;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;4;Hartlová Eliška;;62;BPI;BEZPP;207;2.4;0;False;2014
7;Strana svobodných občanů;37;Hartman David;Mgr.;33;Svobodní;BEZPP;758;2.16;0;False;2014
16;ANO 2011;38;Hauserová Andrea;MUDr.;47;ANO;BEZPP;4626;2.14;26;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;29;Havel Martin;;43;PRO ZS;PRO ZS;750;2.0;0;False;2014
1;Úsvit pro Budějovice;41;Hefertová Jaroslava;;38;Úsvit;BEZPP;528;1.95;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;21;Hegedüsová Alena;;60;BPI;BEZPP;184;2.13;0;False;2014
10;TOP 09;29;Heindl Roman;;28;TOP 09;BEZPP;1495;2.16;25;False;2014
10;TOP 09;36;Hejna Dominik;;24;TOP 09;BEZPP;1673;2.42;32;False;2014
12;Dělnic.str.sociální spravedl.;1;Hejna Patrik;;24;DSSS;DSSS;200;38.38;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;12;Heller Jiří;Mgr. Bc.;33;KDU-ČSL;KDU-ČSL;1399;2.42;11;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;4;Heller Šimon;Bc.;26;KDU-ČSL;KDU-ČSL;1475;2.55;3;False;2014
7;Strana svobodných občanů;41;Hepnarová Alena;;37;Svobodní;BEZPP;707;2.01;0;False;2014
7;Strana svobodných občanů;34;Herzog Lukáš;;31;Svobodní;BEZPP;752;2.14;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;44;Hintnaus Viktor;Ing.;32;HOPB;HOPB;2754;1.86;36;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;19;Hoffmeister Helena;;61;BPI;BEZPP;185;2.15;0;False;2014
16;ANO 2011;23;Hoch Vlastimil;;64;ANO;BEZPP;4937;2.29;11;False;2014
2;Komunistická str.Čech a Moravy;35;Hojda František;;62;KSČM;BEZPP;2344;2.17;29;False;2014
16;ANO 2011;11;Holický Petr;Ing.;54;ANO;BEZPP;4921;2.28;11;True;2014
5;Vize Národních Socialistů;7;Holub Zbyněk;PhDr. CSc.;57;ČSNS;ČSNS;77;23.4;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;45;Hončíková Irena;;67;BPI;BEZPP;137;1.59;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;30;Horažďovská Irena;;67;HOPB;HOPB;3186;2.15;22;False;2014
16;ANO 2011;31;Horejš Jan;;44;ANO;BEZPP;4731;2.19;19;False;2014
2;Komunistická str.Čech a Moravy;37;Horelicová Alžběta;;30;KSČM;KSČM;2365;2.19;31;False;2014
3;Česká str.sociálně demokrat.;19;Horelicová Iva;;29;ČSSD;ČSSD;3543;2.22;10;False;2014
17;Občanská demokratická strana;28;Horká Eva;;51;ODS;ODS;1200;2.12;25;False;2014
4;Toryové;34;Hořejší Martin;;41;TOR;BEZPP;530;2.05;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;44;Hošková Irena;;35;JIH 12;BEZPP;630;1.68;0;False;2014
1;Úsvit pro Budějovice;14;Houf Vlastimil;Ing.;57;Úsvit;BEZPP;631;2.34;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;37;Houra Oldřich;;53;PRO ZS;PRO ZS;727;1.93;0;False;2014
3;Česká str.sociálně demokrat.;43;Hozman Ondřej;;34;ČSSD;ČSSD;3213;2.01;34;False;2014
3;Česká str.sociálně demokrat.;20;Hozmanová Petra;;40;ČSSD;ČSSD;3543;2.22;11;False;2014
3;Česká str.sociálně demokrat.;14;Hrabětová Jaroslava;JUDr. Mgr.;36;ČSSD;ČSSD;3631;2.28;5;False;2014
2;Komunistická str.Čech a Moravy;4;Hrdý Jan;;69;KSČM;KSČM;2454;2.27;4;True;2014
4;Toryové;17;Hrubešová Ilona;;47;TOR;BEZPP;551;2.13;0;False;2014
17;Občanská demokratická strana;44;Hrubý Oskar;Ing.;57;ODS;ODS;1023;1.81;41;False;2014
16;ANO 2011;9;Hrušková Vladimíra;;53;ANO;ANO;4948;2.29;9;True;2014
10;TOP 09;7;Hřídel František;Mgr.;36;TOP 09;TOP 09;1675;2.42;5;False;2014
10;TOP 09;42;Hůrský Ondřej;Ing. et Ing.;34;TOP 09;TOP 09;1313;1.9;38;False;2014
16;ANO 2011;22;Cháb Bohuslav;Mgr.;74;ANO;BEZPP;4957;2.29;10;False;2014
7;Strana svobodných občanů;24;Chalupa Daniel;;40;Svobodní;BEZPP;775;2.21;0;False;2014
6;DOMA v Budějcích;13;Chalupská Eva;Ing.;34;NK;BEZPP;723;2.29;0;False;2014
7;Strana svobodných občanů;18;Chalupský Pavel;;39;Svobodní;Svobodní;791;2.25;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;39;Chmel Luboš;;47;JIH 12;BEZPP;699;1.86;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;7;Chovanec Tomáš;Mgr.;35;HOPB;HOPB;3391;2.29;1;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;11;Chromá Jindřiška;Mgr.;52;PRO ZS;PRO ZS;806;2.15;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;28;Chroustovská Monika;;35;BPI;BEZPP;177;2.05;0;False;2014
5;Vize Národních Socialistů;5;Chyňava Ladislav;;52;ČSNS;BEZPP;53;16.1;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;43;Ibishi Dita;;26;BPI;BEZPP;143;1.66;0;False;2014
3;Česká str.sociálně demokrat.;7;Ilko Vítězslav;Ing. Bc.;38;ČSSD;ČSSD;3696;2.32;7;True;2014
7;Strana svobodných občanů;21;Jaborník Josef;;51;Svobodní;BEZPP;780;2.22;0;False;2014
4;Toryové;44;Jakeš Pavel;;34;TOR;BEZPP;453;1.75;0;False;2014
1;Úsvit pro Budějovice;37;Jančář Jan;;25;NK;BEZPP;540;2.0;0;False;2014
14;ŽENY 2014;17;Jandová Petra;;38;NK;BEZPP;476;2.1;0;False;2014
10;TOP 09;32;Janeček Petr;;24;TOP 09;BEZPP;1464;2.12;28;False;2014
7;Strana svobodných občanů;8;Janišová Olga;MUDr.;60;Svobodní;BEZPP;953;2.72;0;False;2014
14;ŽENY 2014;18;Janošíková Olga;Mgr.;39;NK;BEZPP;527;2.33;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;20;Janoušek Petr;;61;KDU-ČSL;KDU-ČSL;1247;2.16;17;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;33;Janoušková Ida;Ing.;36;KDU-ČSL;BEZPP;1203;2.08;30;False;2014
7;Strana svobodných občanů;13;Jaroš Petr;Ing.;40;Svobodní;Svobodní;813;2.32;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;31;Jelínková Hana;;75;KDU-ČSL;KDU-ČSL;1201;2.08;28;False;2014
4;Toryové;14;Jirotka Jaroslav;;35;TOR;BEZPP;574;2.22;0;False;2014
14;ŽENY 2014;31;Jiříková Zuzana;;49;NK;BEZPP;470;2.08;0;False;2014
3;Česká str.sociálně demokrat.;1;Joch Miroslav;Ing.;37;ČSSD;ČSSD;4323;2.71;1;True;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;31;Joura Roman;;45;Zelení;BEZPP;869;2.1;0;False;2014
7;Strana svobodných občanů;16;Jura Viktor;;25;Svobodní;BEZPP;776;2.21;0;False;2014
3;Česká str.sociálně demokrat.;22;Kabele Jiří;Mgr. Bc.;40;ČSSD;ČSSD;3585;2.25;13;False;2014
14;ŽENY 2014;41;Kabourková Lenka;;45;NK;BEZPP;413;1.82;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;28;Kačenová Jindřiška;Mgr.;71;HOPB;HOPB;3209;2.16;20;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;6;Kadlec Zdeněk;;53;BPI;BEZPP;197;2.29;0;False;2014
3;Česká str.sociálně demokrat.;21;Kadlus Pavel;Mgr.;30;ČSSD;ČSSD;3532;2.21;12;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;37;Kala Petr;Bc.;24;KDU-ČSL;BEZPP;1173;2.03;34;False;2014
1;Úsvit pro Budějovice;44;Kalkuš Jan;;63;Úsvit;BEZPP;523;1.94;0;False;2014
6;DOMA v Budějcích;44;Kalous Petr;;47;NK;BEZPP;541;1.71;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;8;Kalová Hana;Mgr.;52;KDU-ČSL;KDU-ČSL;1349;2.33;8;False;2014
13;OBČANÉ PRO BUDĚJOVICE;38;Kaňa Jiří;RNDr. Ph.D.;37;HOPB;HOPB;3121;2.1;30;False;2014
3;Česká str.sociálně demokrat.;10;Kándl Radim;;35;ČSSD;ČSSD;3619;2.27;1;False;2014
6;DOMA v Budějcích;6;Kanea Jan;;56;NK;BEZPP;761;2.41;0;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;42;Karabiňoš Josef;;45;BPI;BEZPP;149;1.73;0;False;2014
10;TOP 09;20;Kaska Václav;Ing.;37;TOP 09;TOP 09;1554;2.25;16;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;7;Kastnerová Markéta;MUDr.;33;KH;KH;1028;2.48;0;False;2014
10;TOP 09;34;Kaše Petr;;27;TOP 09;BEZPP;1450;2.1;30;False;2014
16;ANO 2011;27;Kilbergerová Jana;Mgr. Bc. et Bc.;38;ANO;BEZPP;4821;2.23;15;False;2014
4;Toryové;7;Kladenský Karel;;49;TOR;BEZPP;635;2.46;0;False;2014
6;DOMA v Budějcích;34;Klepal Václav;;19;NK;BEZPP;638;2.02;0;False;2014
1;Úsvit pro Budějovice;23;Klíma František;;55;Úsvit;BEZPP;563;2.08;0;False;2014
5;Vize Národních Socialistů;2;Klíma Oldřich;;59;ČSNS;BEZPP;37;11.24;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;24;Klíma Zdenek;;40;PRO ZS;BEZPP;811;2.16;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;32;Klimeš Jiří;;63;PRO ZS;PRO ZS;749;1.99;0;False;2014
7;Strana svobodných občanů;36;Klimeš Pavel;;35;Svobodní;BEZPP;751;2.14;0;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;4;Klimešová Romana;;41;KH;KH;952;2.3;0;False;2014
10;TOP 09;21;Klímová Lada;Mgr.;42;TOP 09;TOP 09;1513;2.19;17;False;2014
6;DOMA v Budějcích;38;Klinger Irena;;45;NK;BEZPP;620;1.96;0;False;2014
2;Komunistická str.Čech a Moravy;8;Klokočková Lea;;52;KSČM;KSČM;2498;2.32;2;False;2014
5;Vize Národních Socialistů;3;Kloud Vojtěch;;65;ČSNS 2005;BEZPP;30;9.11;0;False;2014
1;Úsvit pro Budějovice;38;Klugerová Michaela;;52;Úsvit;BEZPP;545;2.02;0;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;39;Knedlová Lucie;Mgr.;34;KH;BEZPP;803;1.94;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;30;Knot František;;49;JIH 12;BEZPP;724;1.93;0;False;2014
17;Občanská demokratická strana;4;Kocar Petr;;54;ODS;ODS;1332;2.35;2;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;14;Kocmich Miloslav;;48;Piráti;BEZPP;957;2.31;0;False;2014
6;DOMA v Budějcích;23;Kočí Stanislav;Ing.;52;NK;BEZPP;669;2.12;0;False;2014
16;ANO 2011;8;Kohn Michal;RNDr. CSc.;64;ANO;ANO;4939;2.29;8;True;2014
12;Dělnic.str.sociální spravedl.;2;Kohout Josef;;65;DSSS;DSSS;153;29.36;0;False;2014
6;DOMA v Budějcích;39;Kohoutová Jana;;23;NK;BEZPP;627;1.98;0;False;2014
4;Toryové;16;Kolář Michal;Mgr.;30;TOR;BEZPP;570;2.2;0;False;2014
10;TOP 09;45;Kolář Michal;;38;TOP 09;TOP 09;1118;1.62;41;False;2014
16;ANO 2011;15;Kolář Petr;;50;ANO;ANO;4854;2.25;3;False;2014
6;DOMA v Budějcích;16;Kolda Luboš;Ing.;62;NK;BEZPP;695;2.2;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;14;Kollar Stanislav;MVDr.;58;KDU-ČSL;KDU-ČSL;1396;2.41;12;False;2014
16;ANO 2011;6;Konečný František;Ing. Ph.D.;56;ANO;ANO;5094;2.36;6;True;2014
6;DOMA v Budějcích;42;Konečný Roman;Mgr.;49;NK;BEZPP;630;1.99;0;False;2014
3;Česká str.sociálně demokrat.;35;Konrád František;Ing.;76;ČSSD;ČSSD;3425;2.15;26;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;32;Konrád Jakub;;20;KDU-ČSL;BEZPP;1209;2.09;29;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;45;Kontroš Svatopluk;;27;PRO ZS;BEZPP;577;1.53;0;False;2014
6;DOMA v Budějcích;27;Kopačková Marcela;Bc.;36;NK;BEZPP;686;2.17;0;False;2014
1;Úsvit pro Budějovice;13;Kopál Daniel;;43;Úsvit;BEZPP;621;2.3;0;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;7;Kopet Antonín;MUDr.;32;KDU-ČSL;BEZPP;1357;2.35;7;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;35;Korda Josef;MgA.;31;Zelení;BEZPP;864;2.08;0;False;2014
10;TOP 09;8;Kořínek Jiří;Ing.;60;TOP 09;TOP 09;1590;2.3;6;False;2014
7;Strana svobodných občanů;28;Kosňovská Jitka;Mgr.;30;Svobodní;BEZPP;762;2.17;0;False;2014
2;Komunistická str.Čech a Moravy;36;Kosová Růžena;;67;KSČM;KSČM;2339;2.17;30;False;2014
10;TOP 09;22;Kotíková Eva;Mgr.;34;TOP 09;BEZPP;1516;2.19;18;False;2014
1;Úsvit pro Budějovice;45;Kotláriková Anna;;74;NK;BEZPP;488;1.81;0;False;2014
1;Úsvit pro Budějovice;10;Koubová Zlatica Aurelie;;63;Úsvit;BEZPP;611;2.26;0;False;2014
4;Toryové;33;Kováčová Michaela;;23;TOR;BEZPP;528;2.04;0;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;5;Kovář Stanislav;Ing. arch.;61;Zelení;Zelení;1113;2.68;0;False;2014
1;Úsvit pro Budějovice;35;Kovaříková Alena;;59;NK;BEZPP;514;1.9;0;False;2014
1;Úsvit pro Budějovice;25;Kozelková Lenka;;20;Úsvit;BEZPP;584;2.16;0;False;2014
16;ANO 2011;7;Kozlová Lucie;doc. Ing. Ph.D.;42;ANO;BEZPP;5151;2.38;7;True;2014
1;Úsvit pro Budějovice;8;Krobová Milena;;49;NK;BEZPP;653;2.42;0;False;2014
2;Komunistická str.Čech a Moravy;44;Kroka Milan;;39;KSČM;BEZPP;2225;2.06;38;False;2014
2;Komunistická str.Čech a Moravy;2;Křída Stanislav;Mgr.;55;KSČM;KSČM;2532;2.35;2;True;2014
2;Komunistická str.Čech a Moravy;40;Křídová Marie;;84;KSČM;KSČM;2309;2.14;34;False;2014
16;ANO 2011;17;Křišťan Zdeněk;;67;ANO;BEZPP;4859;2.25;5;False;2014
